id,title,authors,venue,year
10039,dimas : distributing multimedia on peer-to-peer file sharing networks,"t reti , r sarvas","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
10040,a view from academia,j bhagwati,"& hellip ; labor , bureau of international labor affairs : international & hellip ; ,",
10041,safety and translation of relational calculus queries .,"a van gelder , rw topor","acm transactions on database systems ,",1991.0
10042,"female mate preference enhances offspring growth and reproduction in a fish , poecilia reticulata","jd reynolds , mr gross","proceedings : biological sciences ,",1992.0
10043,vaginal pessary-induced mechanical bowel obstruction,"rj roberge , c keller , m garfinkel","journal of emergency medicine ,",2001.0
10044,"effect of the antimigraine drugs , ergotamine , dihydroergotamine and methysergide , on cranial","elh spierings , pr saxena",submitted for,
10045,implementation of the epsilon dataflow processor,"vg grafe , je hoch","proceedings of the 23rd hawaii international conference on & hellip ; ,",
10046,interaction of algorithm and implementation for analog vlsi stereo vision,"jm hakkarainen , jj little , hs lee , jl wyatt","proc . spie ,",1991.0
10047,assessing haptic properties for data representation,"sa wall , sa brewster","proceedings of acm chi ,",2003.0
10048,on six degrees of separation in dblp-db and more,"e elmacioglu , d lee","sigmod record ,",2005.0
10049,improved approximation algorithms for metric facility location problems,"m mahdian , y ye , j zhang","lecture notes in computer science ,",2002.0
10050,"on roth , korth , and silberschatz 's extended algebra and calculus for nested relational databases .","au tansel , l garnett","acm transactions on database systems ,",1992.0
10051,genetic bases of fish selection,vs kirpichnikov,,1981.0
10052,"geography , institutions , and diversity as factors underlying heterogeneity : a bayesian treed",cm tan,"university of wisconsin ,",
10053,cascadia project,t gonzales,"discovery institute , seattle ,",
10054,efficient frequency domain digital video scrambling for content access control,"w zeng , s lei",proc . acm,
10055,an international comparison of derivatives use,"h berkman , me bradbury , s magan","financial management ,",1997.0
10056,embryo transfer in dairy cattle hoards dairyman 1989,"ge seidel jr , rp elsden",,
10057,gradual and verifiable release of a secret,"ef brickell , d chaum , ib damgard , j van de graaf",lecture notes in computer,
10058,choosing celebrity endorsers,"ar miciak , wl shanklin","marketing management ,",
10059,tools and transformations-rigorous and otherwise-for practical database design,"a rosenthal , d reiner","acm transactions on database systems ,",1994.0
10060,"bambe , version 2.02 beta","dl simon , b larget","software at ,",
10061,the bang file : a new kindof gridfile,m freeston,"proc . acm sigmod conference ,",
10062,the telegarden,k goldberg,,
10063,rapid assessment of stress effects on plant leaves by chlorophyll fluorescence measurements,"u schreiber , w bilger","plant response to stress ,",
10064,on the implementation of bayes-optimal generalizers,"d wolpert , p stolorz",,1992.0
10065,a comprehensive study of model school to work transition programs and their application to the thorp,js goodman,,2002.0
10066,a metrics system for quantifying operational coupling in embedded computer control systems,"d chen , m tã ¶ rngren","proceedings of the fourth acm international conference on & hellip ; ,",2004.0
10067,architecture of future data base systems,"la rowe , m stonebraker","sigmod record ,",1981.0
10068,corticosteroids for idiopathic pulmonary fibrosis,"l richeldi , hr davies , g ferrara , f franco","cochrane database syst rev ,",2003.0
10069,a highly linear cmos transconductor based on a current conveyor,"d python , cc enz",procs,
10070,components of reward in social dilemmas,"ss komorita , jm barth","journal of personality and social psychology ,",1985.0
10071,methods to explain the clinical significance of health status measures,"gh guyatt , d osoba , aw wu , kw wyrwich , gr norman","mayo clinic proceedings ,",2002.0
10072,behavioral modeling of analog circuits by wavelet collocation methods,"l xin , z xuan , z dianâ ? ¦","proc ieee/acm iccad ,",
10073,towards a theory of advanced transaction models in the situation calculus,i kiringa,"proceedings of the vldb 8th internationalworkshop on & hellip ; ,",
10074,"n. and chandrasekaran , b. complexity in classificatory reasoning",ga soubdarajan,"proceedings of aaai ( seattle washington , july 13-18 , 1987 )",
10075,"etal. , â ?? a space based model for user interaction in shared synthetic environment , â ??",le fahlen,"proc . acm chi ,",
10076,end-user based collaboration and fairness in open spectrum systems,"h zheng , c peng",microsoft research asia technical,
10077,the consequences of optimization for underspecification,s inkelas,"proceedings-nels ,",1995.0
10078,a comparison between deterministic and probabilistic approaches to the phenomenon of anomalous,m kotulska,"cellular and molecular biology letters ,",1999.0
10079,image segmentation by clustering,"gb coleman , hc andrews","ieee , proceedings ,",1979.0
10080,adaptive background estimation and foreground detection using kalman-filtering,"c ridder , o munkelt , h kirchner",,
10081,understanding siblingconcepts : a developmental study of kin terms in zinacantan,"pm greenfield , cp childs","see ref ,",
10082,analog sorting network ranks inputs by amplitude and allows selection .,dr morgan,"electronic design ,",
10083,file directory design considerations for distributed data bases,"ww chu , e nahouraii","vldb ,",
10084,designing dbms support for the temporal dimension,"vy lum , p dadam , r erbe , j guenauer , g walch , h",,
10085,the darkest journey : celine 's '' death on the installment plan '',j fraser,"wisconsin studies in contemporary literature ,",1967.0
10086,"separation of variables and the efficient computation of fourier transforms on finite groups , i","d maslen , d rockmore",submitted for,
10087,model-reduction with time delay combining the least-squares method with the ga,"zj yang , t hachini , t tsuji","iee proceedings -- part d ,",
10088,"erp in china : one package , two profiles",mg martinsons,"communications-acm ,",2004.0
10089,software processes for the development of electronic commerce systems,"v gruhn , l schoepe","information & software technology ,",2002.0
10090,efficient checking sequences for testing finite state machines,"k inan , h ural","information and software technology ,",1999.0
10091,overestimation of mycophenolic acid by emit correlates with mpa metabolite,"m shipkova , e schutz , vw armstrong , pd niedmann , e","transplantation proceedings ,",1999.0
10092,"composite document extended retrieval , ''",ea fox,"proc . acm sigir conference , montreal , canada ,",
10093,1/f noise,ms keshner,,1982.0
10094,on the complexity of ! - automaton,s safra,proc . 29th ann . ieee symp . on foundations of computer,
10095,tracking stocks,ra robinson,"computerworld ,",
10096,implementing a generalized access path structure for a relational database system,t haerder,"acm transactions on database systems ,",1978.0
10097,panoramaexcerpts : extracting and packing panoramas for video browsing,"y tanigushi , a akutsu , y tonomura","proc . acm multimedia ,",
10098,from welfare to work : summary,"jm gueron , e pauly , cm lougy",,1991.0
10099,"pattern recognition : statistical , structural and neural approaches",r schalkoff,,
10100,"unitary representations of ( g , k ) - pairs connected with the infinite symmetric group s ( â ?? )",gi olshanskii,"algebra i analiz ,",
10101,exceeding the datatlow lit via value prediction,"mh lipasti , jp shen",proc . of 29th international symposium on,
10102,lagrangian support vector machine classification,"ol mangasarian , dr musicant","journal of machine learning research ,",
10103,einsatz und fusion von multisensoralen satellitenbilddaten zur erfassung von waldinventuren,aa darvishsefat,,1994.0
10104,border crossings : transnational movements for alternative development and radical democracy in the,jh bandy,"phd , university of california , santa barbara ,",
10105,dynatnics of glassy polytner melts in confined geotnetry : a monte carlo simulation,j baschnagel,"j. phys . i france ,",1996.0
10106,combinatorial auctions for supply chain formation,"mp wellman , we walsh , f ygge","proc . of acm ec ,",
10107,"the tenth text retrieval conference ( trec-2001 ) , gaithersburg","em voorhees , dk harman","md ,",
10108,transformation behavior of a ti50ni47fe3,"cm huang , m meichle , mb salamonâ ? ¦",,1983.0
10109,analysis of nonlinear resonance in rotated y-cut quartz thickness-shear resonators,hf tiersten,"proc . 29th annual freg . control symposium ,",
10110,java object serialization specification revision 0.9,s microsystems,found,
10111,aramemnon : a novel arabidopsis thaliana integral membrane protein database : plant physiol,"r schwacke , a schneider , e van der graaff , k",,2002.0
10112,parameter free bursty events detection in text streams,"gpc fung , jx yu , ps yu , h lu","proceedings of the 31st international conference on very & hellip ; ,",2005.0
10113,reducing the steiner problem in an a 3-geometry plane,"gh lin , gl xue",submitted for,
10114,â ?? update semantics for incomplete databasesâ ??,"s ablteboul , g grahne",proc 1985 vldb,
10115,study of triaxial creep testing method and model for creep deformation on sedimentary soft rocks [ a ],"k hayano , m matsmoto","proc . of the 29th symp . of rock mechsl ] : [ sn ] , 1999 ,",
10116,xtract : a system for extracting document type descriptors from xml documents,"m garofalakis , a gionis , r rastogi , s seshadri , k","sigmod conference ,",2000.0
10117,"accessibility law evokes cheers , fears",s lais,"computerworld ,",
10118,on first-order formulations of the leastsquares finite element method for incompressible flows,"t tsang , x ding",,
10119,rc autonomous circuits with chaotic behaviour,p bernat,,
10120,advances in laboratory testing to quantitatively describe sediment-water interactions,"jm brannon , te myers","water quality 88 : seminar proceedings . february 23-25 1988 , & hellip ; ,",1988.0
